"N","J","Distribution","Response","Alpha_Mean","Alpha_SD","Omega_Mean","Omega_SD"
3000,20,"heavy","acquiescent",0.953167120822947,0.00572041036243665,0.953491623406689,0.00562868202406696
3000,20,"normal","acquiescent",0.952895305517216,0.00375123975171675,0.953200838582002,0.00374713055175255
3000,20,"skewed","acquiescent",0.954323052689909,0.00369500300541125,0.95462038076242,0.00366225035025291
4000,3,"heavy","acquiescent",0.748016342733105,0.0374125274669256,0.749699491971982,0.0374380303661724
4000,3,"normal","acquiescent",0.760187077859329,0.034296832668248,0.761739012556335,0.0340625919332822
4000,3,"skewed","acquiescent",0.754676308186509,0.0338455217381409,0.756129051339518,0.0338978708625587
4000,10,"heavy","acquiescent",0.912007200154288,0.0154913814002889,0.912594413695613,0.0153125611892617
4000,10,"normal","acquiescent",0.914032910791984,0.00881492005378629,0.914549670975875,0.00877510406483467
4000,10,"skewed","acquiescent",0.912370485384872,0.00796005298960286,0.912884882461102,0.00788408312993412
4000,20,"heavy","acquiescent",0.952197326617629,0.00591075760382993,0.952524527127342,0.00584112368623295
4000,20,"normal","acquiescent",0.953768233631088,0.00315477231405279,0.954051785019243,0.00313201888495178
4000,20,"skewed","acquiescent",0.954622734120957,0.0033049762469435,0.95489158831612,0.00328281067469979
5000,3,"heavy","acquiescent",0.76127797067958,0.0450048572510226,0.762859829740103,0.0446533027710589
5000,3,"normal","acquiescent",0.753573380218947,0.0373244583065282,0.755495026072091,0.036856902602139
5000,3,"skewed","acquiescent",0.750490840704197,0.0330072641863209,0.752198936126183,0.0331275966931352
5000,10,"heavy","acquiescent",0.910926401961028,0.0101930273301225,0.911526914407446,0.0100803763423727
5000,10,"normal","acquiescent",0.912383854456809,0.00857235841629144,0.912949319448415,0.00857219116561763
5000,10,"skewed","acquiescent",0.912437202374372,0.00923711689269113,0.912968680234202,0.00920524149268764
5000,20,"heavy","acquiescent",0.953758939067075,0.00697368012308886,0.954051730404814,0.00687964532330634
5000,20,"normal","acquiescent",0.952952907870791,0.00261882005458428,0.953248390389614,0.00260860006634599
5000,20,"skewed","acquiescent",0.95471495539558,0.00347971095172594,0.954975530972328,0.00345962036972065
10,3,"heavy","consistent",0.572636417890714,0.4293730716849,0.702271055632642,0.212605736780221
10,3,"normal","consistent",0.696740703264886,0.174263361968889,0.769151519518111,0.132240286237855
10,3,"skewed","consistent",0.59505681038914,0.264030017185665,0.699417091266311,0.175382899577453
10,10,"heavy","consistent",0.846546564930672,0.149203892802253,NA,NA
10,10,"normal","consistent",0.894544837974589,0.0568727915640895,NA,NA
10,10,"skewed","consistent",0.842472880864846,0.17542241536063,NA,NA
10,20,"heavy","consistent",0.884637870228995,0.103641271575397,NA,NA
10,20,"normal","consistent",0.933067619583174,0.0486011899186198,NA,NA
10,20,"skewed","consistent",0.921364515939342,0.0685943468798516,NA,NA
30,3,"heavy","consistent",0.680575867910491,0.15874064625164,0.713757018157832,0.131556882863057
30,3,"normal","consistent",0.730407139401314,0.086887976048087,0.750861954093132,0.0803622536667951
30,3,"skewed","consistent",0.707787458326455,0.116831268444886,0.741172781625337,0.0882495221181519
