"N","J","Distribution","Response","Alpha_Mean","Omega_Mean"
800,20,"normal","acquiescent",0.953769131777115,0.954097441107175
800,20,"normal","consistent",0.94932204082366,0.949701267794441
800,20,"normal","extreme",0.950445761019793,0.950798946276858
800,20,"normal","inconsistent",0.861103956874388,0.861585348573841
800,20,"skewed","acquiescent",0.953937875708467,0.954288244570633
800,20,"skewed","consistent",0.951303914549629,0.95165465168657
800,20,"skewed","extreme",0.949960770994502,0.950341117644759
800,20,"skewed","inconsistent",0.865159099869218,0.865585544926596
1000,3,"heavy","acquiescent",0.755670874026827,0.757975344029808
1000,3,"heavy","consistent",0.725145126882587,0.727267101680612
1000,3,"heavy","extreme",0.725582588223126,0.72839239980243
1000,3,"heavy","inconsistent",0.485187397491899,0.48756354140411
1000,3,"normal","acquiescent",0.755676253022326,0.757663524331383
1000,3,"normal","consistent",0.72363060959741,0.725740876563698
1000,3,"normal","extreme",0.733840177679069,0.735924753775033
1000,3,"normal","inconsistent",0.492816301021109,0.496285598529405
1000,3,"skewed","acquiescent",0.749089542505798,0.751387068659048
1000,3,"skewed","consistent",0.738734546938368,0.740448133107321
1000,3,"skewed","extreme",0.741043785498,0.743160271291795
1000,3,"skewed","inconsistent",0.497838688878781,0.501137639197544
1000,10,"heavy","acquiescent",0.905074587527588,0.905749175619033
1000,10,"heavy","consistent",0.903407844750161,0.904150023019007
1000,10,"heavy","extreme",0.893379638471495,0.894321349798957
1000,10,"heavy","inconsistent",0.756807157624056,0.757532900261826
1000,10,"normal","acquiescent",0.910714069631489,0.911355245893774
1000,10,"normal","consistent",0.90582138586874,0.906523363772874
1000,10,"normal","extreme",0.90483576545429,0.905550505163812
1000,10,"normal","inconsistent",0.765704939572067,0.76641006206508
1000,10,"skewed","acquiescent",0.911125515489964,0.911737730921049
1000,10,"skewed","consistent",0.903200004544963,0.90392052128067
1000,10,"skewed","extreme",0.907738782346303,0.908329491308514
1000,10,"skewed","inconsistent",0.764709208236707,0.765459200787799
1000,20,"heavy","acquiescent",0.950537241980205,0.950922663424193
1000,20,"heavy","consistent",0.9459222809915,0.946369582620343
1000,20,"heavy","extreme",0.947122224521439,0.947541880500289
1000,20,"heavy","inconsistent",0.861352368414674,0.861817212641803
1000,20,"normal","acquiescent",0.954106857719927,0.954395478920476
1000,20,"normal","consistent",0.949854392225241,0.950186259335756
1000,20,"normal","extreme",0.949393817174982,0.949768707962884
1000,20,"normal","inconsistent",0.867506716708742,0.867911823885448
1000,20,"skewed","acquiescent",0.952856308976997,0.953186815710621
1000,20,"skewed","consistent",0.950224601080749,0.950601818757334
1000,20,"skewed","extreme",0.949767467354714,0.95014405636389
1000,20,"skewed","inconsistent",0.865508732828901,0.865903323724137
2000,3,"heavy","acquiescent",0.748081871822232,0.749914664126737
2000,3,"heavy","consistent",0.747133521625825,0.749218280248283
2000,3,"heavy","extreme",0.739830894806273,0.741820860626642
2000,3,"heavy","inconsistent",0.495937475041443,0.498307703832452
2000,3,"normal","acquiescent",0.760154246505939,0.761750355073444
2000,3,"normal","consistent",0.734559431157386,0.736522491445579
2000,3,"normal","extreme",0.733388471486566,0.735541979460053
