"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
 100, 3,"heavy","consistent",0.708440824,0.117682979,0.721167821,0.099850615
 200, 3,"heavy","consistent",0.709193294,0.092971748,0.715786460,0.088967189
 300, 3,"heavy","consistent",0.729926179,0.076733859,0.733737824,0.074802978
 400, 3,"heavy","consistent",0.731987959,0.053801456,0.735845244,0.051936578
 500, 3,"heavy","consistent",0.743234131,0.066052633,0.746056614,0.064904824
 800, 3,"heavy","consistent",0.733778019,0.054801371,0.736368975,0.053740941
1000, 3,"heavy","consistent",0.725145127,0.056862289,0.727267102,0.056169787
2000, 3,"heavy","consistent",0.747133522,0.048260095,0.749218280,0.048208055
3000, 3,"heavy","consistent",0.735852791,0.040070321,0.738053837,0.040298821
4000, 3,"heavy","consistent",0.739441088,0.043068445,0.741245879,0.042955183
5000, 3,"heavy","consistent",0.735962767,0.049781170,0.737702668,0.049655582
  30,10,"heavy","consistent",0.852112461,0.058466997,0.855765117,0.060019060
  50,10,"heavy","consistent",0.869664323,0.057491797,0.873446493,0.055251274
 100,10,"heavy","consistent",0.894951779,0.033393810,0.896688890,0.032443779
 200,10,"heavy","consistent",0.889568157,0.031646037,0.890986551,0.031045180
 300,10,"heavy","consistent",0.896870946,0.026809090,0.897931859,0.026435666
 400,10,"heavy","consistent",0.890270541,0.025245225,0.891306376,0.024870829
 500,10,"heavy","consistent",0.896054786,0.022908701,0.897044484,0.022548098
 800,10,"heavy","consistent",0.894953190,0.023357448,0.895847959,0.023051785
1000,10,"heavy","consistent",0.903407845,0.022013179,0.904150023,0.021725629
2000,10,"heavy","consistent",0.901421751,0.017339165,0.902201554,0.017069287
3000,10,"heavy","consistent",0.904043665,0.021338289,0.904738993,0.021128190
4000,10,"heavy","consistent",0.905178142,0.014816562,0.905888589,0.014623677
5000,10,"heavy","consistent",0.904071401,0.012015257,0.904729730,0.011879064
  30,20,"heavy","consistent",0.938488805,0.027033013,0.940474738,0.026097374
  50,20,"heavy","consistent",0.936054842,0.030439619,0.937611174,0.029406317
 100,20,"heavy","consistent",0.941732902,0.020441314,0.942749684,0.019933482
 200,20,"heavy","consistent",0.938856884,0.014956303,0.939695248,0.014549439
 300,20,"heavy","consistent",0.943209961,0.015157227,0.943792592,0.014928660
 400,20,"heavy","consistent",0.944755682,0.016108103,0.945330780,0.015840855
 500,20,"heavy","consistent",0.945596049,0.011131588,0.946118616,0.010944007
 800,20,"heavy","consistent",0.948378866,0.009825505,0.948806818,0.009636874
1000,20,"heavy","consistent",0.945922281,0.010461209,0.946369583,0.010276398
2000,20,"heavy","consistent",0.949126146,0.006228835,0.949537384,0.006118911
